nodes_per_instance,p,exponent,instance_connectivity,simpsons_index,reachability
equal,0.21,1.88,0.16541,0.18252,0.97585
equal,0.21,1.88,0.16387,0.18301,0.99711
equal,0.21,1.88,0.16264,0.16984,0.99725
equal,0.21,1.88,0.16232,0.17138,0.99717
equal,0.21,2.25,0.15875,0.16579,0.95026
equal,0.21,2.25,0.15380,0.15613,0.96240
equal,0.21,2.25,0.14458,0.13866,0.96128
equal,0.21,2.25,0.15044,0.14136,0.91736
equal,0.21,2.25,0.15753,0.18309,0.97311
equal,0.21,2.62,0.13962,0.13249,0.90359
equal,0.21,2.62,0.13642,0.12652,0.84982
equal,0.21,2.62,0.14873,0.15833,0.93483
equal,0.21,2.62,0.14226,0.13974,0.86073
equal,0.21,2.62,0.14844,0.15755,0.93563
equal,0.21,3.00,0.14188,0.14698,0.91451
equal,0.21,3.00,0.13612,0.12341,0.88686
equal,0.21,3.00,0.13681,0.13222,0.74866
equal,0.21,3.00,0.14752,0.15890,0.85730
equal,0.21,3.00,0.13696,0.11950,0.82720
equal,0.26,1.50,0.20757,0.26842,0.98654
equal,0.26,1.50,0.18429,0.22996,0.99738
equal,0.26,1.50,0.21289,0.26941,0.97648
equal,0.26,1.50,0.17989,0.21371,0.99735
equal,0.26,1.50,0.19973,0.25147,0.99731
equal,0.26,1.88,0.18678,0.23225,0.99713
equal,0.26,1.88,0.18315,0.22626,0.98602
equal,0.26,1.88,0.17564,0.20907,0.98590
equal,0.26,1.88,0.19315,0.26763,0.99726
equal,0.26,1.88,0.17809,0.21761,0.98602
equal,0.26,2.25,0.17039,0.20592,0.96711
equal,0.26,2.25,0.17669,0.23010,0.98474
equal,0.26,2.25,0.16784,0.20678,0.95098
equal,0.26,2.25,0.17325,0.21697,0.96093
equal,0.26,2.25,0.16667,0.19750,0.97140
equal,0.26,2.62,0.15705,0.19057,0.88875
equal,0.26,2.62,0.16635,0.20268,0.93393
equal,0.26,2.62,0.15919,0.18984,0.88829
equal,0.26,2.62,0.15096,0.16840,0.90329
equal,0.26,2.62,0.15063,0.16653,0.84085
equal,0.26,3.00,0.16291,0.20782,0.90025
equal,0.26,3.00,0.15081,0.17665,0.73906
equal,0.26,3.00,0.15178,0.16295,0.90238
equal,0.26,3.00,0.14947,0.16369,0.82317
equal,0.26,3.00,0.14809,0.16440,0.87389
equal,0.32,1.50,0.20867,0.28963,0.99729
equal,0.32,1.50,0.25576,0.34171,0.99732
equal,0.32,1.50,0.23171,0.31781,0.99729
equal,0.32,1.50,0.22055,0.29862,0.99726
equal,0.32,1.50,0.21557,0.28349,0.99736
equal,0.32,1.88,0.20028,0.27164,0.99718
equal,0.32,1.88,0.19778,0.28589,0.97525
equal,0.32,1.88,0.21211,0.30728,0.99718
equal,0.32,1.88,0.20952,0.26862,0.99720
equal,0.32,1.88,0.19709,0.25929,0.99709
equal,0.32,2.25,0.17898,0.23199,0.92823
equal,0.32,2.25,0.18469,0.25145,0.93919
equal,0.32,2.25,0.17901,0.24494,0.93640
